AREA,PERIMETER,SOUMCENT_,SOUMCENT_I,NAME
0.000,0.000,"264","268",ªìíºäýëãýð
0.000,0.000,"265","269",Ãóðâàíáàÿí
0.000,0.000,"266","271",Áàòøèðýýò
0.000,0.000,"267","274",Áèíäýð
0.000,0.000,"268","270",Áàÿí-Àäðàãà
0.000,0.000,"269","273",Äàäàë
0.000,0.000,"270","267",Íîðîâëèí
0.000,0.000,"271","330",Áàÿí-Îâîî
0.000,0.000,"272","328",Áàÿí-Óóë
0.000,0.000,"273","343",Áàÿíäóí
0.000,0.000,"274","336",Äàøáàëáàð
0.000,0.000,"275","337",×óëóóíõîðîîò
0.000,0.000,"276","338",Ãóðâàíçàãàë
0.000,0.000,"277","340",×îéáàëñàí
0.000,0.000,"278","339",Ñýðãýëýí
0.000,0.000,"279","335",Öàãààí-Îâîî
0.000,0.000,"280","334",Õºëºíáóéð
0.000,0.000,"281","332",Áóëãàí
0.000,0.000,"282","356",Ìàòàä
0.000,0.000,"283","341",Khalkh Gol
0.000,0.000,"284","240",Ýðäýíýñàíò
0.000,0.000,"285","239",ªíäºðøèðýýò
0.000,0.000,"286","238",Ë¿í
0.000,0.000,"287","226",Çààìàð
0.000,0.000,"288","235",Öýýë
0.000,0.000,"289","234",Óãòààëöàéäàì
0.000,0.000,"290","237",Áàÿíõàíãàé
0.000,0.000,"291","242",Àðãàëàíò
0.000,0.000,"292","243",Áàÿíöîãò
0.000,0.000,"293","232",Áàÿí÷àíäìàíü
0.000,0.000,"294","233",Æàðãàëàíò
0.000,0.000,"295","245",Àëòàíáóëàã
0.000,0.000,"296","247",Ñýðãýëýí
0.000,0.000,"297","248",Áàÿí
0.000,0.000,"298","249",Áàÿíæàðãàëàí
0.000,0.000,"299","250",Àðõóñò
0.000,0.000,"300","253",Ýðäýíý
0.000,0.000,"301","254",Íàëàéõ
0.000,0.000,"302","252",Áàÿíäýëãýð
0.000,0.000,"303","251",Áàãàíóóð
0.000,0.000,"304","255",Ãà÷óóðò
0.000,0.000,"305","256",Ìºíãºíìîðüò
0.000,0.000,"306","231",Áàòñ¿ìáýð
0.000,0.000,"307","230",Áîðíóóð
0.000,0.000,"308","229",Æàðãàëàíò
0.000,0.000,"309","228",Ñ¿ìáýð
0.000,0.000,"310","357",Áàÿíò¿ìýí
0.000,0.000,"311","358",Èõ-óóë
0.000,0.000,"312","359",Äýðýí
0.000,0.000,"313","360",Õ¿äýð
0.000,0.000,"315","1",Ñàãñàé
0.000,0.000,"316","2",Àëäàðõààí
0.000,0.000,"317","4",Áóëãàí
0.000,0.000,"318","6",Ðàøààíò
0.000,0.000,"319","133",Õàíõ
0.000,0.000,"320","201",Äàøèí÷èëýí
0.000,0.000,"321","5",Ðàøààíò
0.000,0.000,"322","7",Áàÿíòýýã
0.000,0.000,"323","8",Áàÿíòàë
0.000,0.000,"324","9",Øèâýýãîâü
0.000,0.000,"325","10",Áàãàõàíãàé
0.000,0.000,"326","11",Òýðýëæ
0.000,0.000,"327","220",Õºòºë
0.000,0.000,"328","13",Ñàëõèò
0.000,0.000,"329","14",Õýðëýíáàÿí-Óë
0.000,0.000,"330","16",Áýðõ
0.000,0.000,"331","15",Áîð-ªíäºð
0.000,0.000,"332","17",Ç¿¿áàÿí
0.000,0.000,"334","200",Áàÿííóóð
0.000,0.000,"335","361",Öàõèð
0.000,0.000,"336","12",Õîíãîð
