"Баг, хороо","Баг, хорооны код",Малын төрөл,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
                    Хан-Уул,51122,Бүгд,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.78,36.99,42.686,37.52,38.86,38.485,33.208,38.639,46.09
                    Хан-Уул,51122,Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.808,5.388,5.895,5.918,7.451,6.247,5.745,7.589,11.96
                    Хан-Уул,51122,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.843,9.583,11.11,12.043,12.274,12.616,11.231,11.845,11.9
                    Хан-Уул,51122,Тэмээ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.048,0.004,0.015,0.001,0.007,0.001,0.003,0.003,0.007
                    Хан-Уул,51122,Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.368,11.584,14.332,9.944,9.958,9.894,8.576,10.336,10.231
                    Хан-Уул,51122,Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.713,10.431,11.334,9.614,9.17,9.727,7.653,8.866,11.992
                    Чингэлтэй,51125,Бүгд,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.528,1.364,1.84,1.5,1.337,1.248,0,0,
                    Чингэлтэй,51125,Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022,0.015,0.035,0.173,0.186,0.089,0,0,
                    Чингэлтэй,51125,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.692,0.555,0.658,0.72,0.533,0.56,0,0,
                    Чингэлтэй,51125,Тэмээ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,
                    Чингэлтэй,51125,Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.211,0.207,0.421,0.233,0.231,0.207,0,0,
                    Чингэлтэй,51125,Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.603,0.587,0.726,0.374,0.387,0.392,0,0,
