"Баг, хороо","Баг, хорооны код",Малын төрөл,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
            Өвөрхангай,262,Адуу,223.12,196.46,195.63,183.97,188.52,188.62,195.57,202.98,202.08,202.41,183.4,171.64,174.06,163,164.08,161.16,167.85,166.14,174.58,185.69,196.26,196.08,180.76,191.26,222.16,254.44,250.65,258.65,279.05,287.95,178.07,140.97,115.15,123.79,132.94,136.64,151.32,174.95,172.98,183.42,113.8,141.1,170.536,205.881,246.943,280.197,323.363,364.015,323.629,348.886,280.107
            Өвөрхангай,262,Үхэр,167.74,167.5,169.99,169.74,174.52,185.34,195.98,205.03,213.3,214.05,199.04,180.71,180.65,168.36,167.96,167.92,174.08,178.21,177.34,187.01,200.53,198.24,197.85,205.66,235.78,270.66,268.21,271.84,282.4,295.96,174.82,99.28,75.26,83,91.22,99.68,111.11,133.47,134.76,141.05,76.23,90.57,113.966,144.926,183.259,217.599,259.939,298.244,272.32,292.412,251.816
            Өвөрхангай,262,Тэмээ,39.15,36.66,36.27,36.93,36.96,37.49,37.94,38.72,38.2,38.6,35.43,35.13,35.22,35.03,33.39,30.13,30.24,30.62,30.73,31.73,31.4,27.73,21.58,20.96,20.82,20.86,19.63,19.22,19.53,19.31,16.48,14.74,13.34,13.98,13.83,13.14,13.01,13.54,14.12,15.17,14.71,15.87,18.134,19.74,21.97,23.128,26.251,28.756,31.451,32.711,26.57
            Өвөрхангай,262,Хонь,992.8,971.27,1012.25,1035.05,1098.18,1133.27,1147.08,1171.69,1199.49,1208.39,1176.58,1206.04,1255.81,1044.85,1052.98,1018.41,1022.68,1043.75,1050.2,1135.67,1219.89,1171.74,1190.62,1170.8,1254.9,1312.55,1260.12,1306.82,1387.93,1423.06,1059.03,911.08,805.94,881.66,971.5,1059.45,1213.4,1462.11,1569.2,1691.44,896.62,1051.75,1310.889,1541.304,1821.056,2021.762,2378.488,2663.296,2588.133,2606.843,2114.953
            Өвөрхангай,262,Ямаа,284.96,280.19,299.64,307.37,321.91,330.47,337.91,334.93,363.76,359.78,339.44,335.38,364.22,328.59,317.63,298.07,331.23,330.61,344.71,397.51,413.53,428.53,455.15,517.36,612.57,736.46,751.52,861.69,952.61,930.37,730.65,703.03,655.69,816.4,945.96,992.24,1134.43,1406.13,1558.68,1589.09,909.2,1126.36,1357.163,1574.192,1838.287,1968.3,2220.541,2389.219,2245.813,2344.611,1805.612
                Арвайхээр,26201,Бүгд,2.44,2.77,3.29,3.5,3.39,3.6,5.82,4.76,1.67,1.51,1.19,1.41,3.79,3.43,4.73,5.93,5.57,6.84,9.71,17.34,34.18,31.3,39.55,63.66,79.59,82.13,53.43,60.75,48.28,40.68,36.67,23.79,27.66,36.53,42.45,46.09,61.34,95.67,125.06,126.21,53.64,79.14,124.098,157.251,196.132,199.985,256.303,273.114,252.654,258.795,247.285
                Арвайхээр,26201,Адуу,0.38,0.55,0.76,0.81,0.83,0.75,0.96,1.11,0.12,0.08,0.06,0.07,0.26,0.21,0.2,0.29,0.34,0.33,0.48,0.92,1.58,1.31,1.58,2.69,2.95,2.86,1.58,2.26,2.32,2.2,1.66,1.2,1.35,1.74,1.66,1.84,2.3,3.49,4.51,4.42,2.07,3.34,5.571,7.382,8.939,9.812,13.327,14.858,13.985,15.516,14.92
                Арвайхээр,26201,Үхэр,0.87,1,1.13,1.15,1.07,1.17,1.34,1.66,0.77,0.75,0.51,0.51,0.53,0.62,0.74,0.95,1.01,1.17,1.44,2.29,4.41,3.2,3.38,5.65,6.31,5.67,3.16,3.98,3.75,3.25,2.6,0.87,0.96,1.19,1.3,1.49,1.61,2.73,3.34,2.92,1.26,2.1,3.446,5.041,6.987,7.518,10.464,11.658,10.349,10.246,10.52
                Арвайхээр,26201,Тэмээ,0,0,0.01,0,,0.01,,,,,,,,,,,,,,,0,0,0.01,0.01,0.02,0.02,0.01,0.02,0.02,0,0,0,0,,0.01,0.05,0.03,0.03,0.03,0.03,0.05,0.08,0.108,0.099,0.111,0.134,0.19,0.211,0.209,0.254,0.272
                Арвайхээр,26201,Хонь,0.52,0.62,0.59,0.57,0.58,0.75,2.7,0.89,0.23,0.22,0.16,0.13,2.3,1.54,2.08,2.49,1.93,2.23,3.84,7.15,17.41,18.07,24.41,41.8,54.45,57.45,38.43,40.43,29.3,25.77,21.76,13.65,15.21,18.81,21.52,23.41,31.34,48.23,61.02,66.49,25.11,35.83,56.34,72.068,88.956,92.095,121.994,130.943,124.546,125.979,117.231
