"Баг, хороо","Баг, хорооны код",Малын төрөл,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
                Баяндун,42104,Ямаа,1.3,1.48,1.56,1.67,1.8,1.82,1.83,2.11,2.06,2.13,2,2.14,2.15,2.18,2.27,2.31,2.48,2.63,2.6,3.33,3.64,3.56,3.99,4.35,5.04,5.41,5.92,7.27,8.4,9.32,9.86,11.59,13.9,16.43,18.01,21.42,25.69,31.61,39.4,38.04,26.34,30.84,29.089,29.843,34.53,36.724,40.606,48.057,59.07,65.041,65.162
                Баянтүмэн,42107,Бүгд,53.44,55.25,49.31,51.07,53.86,51.83,48.21,51.06,57.02,58.38,58.28,62.06,55.14,53.18,47.38,51.15,45.26,46.2,46.44,49.22,46.79,45.68,41.22,37.83,30.8,27.92,29.42,30.31,33.02,35.22,35.15,43.46,51.2,45.12,56.56,63.21,74.2,100.75,115.33,111.76,77.89,78.02,82.942,84.69,94.812,112.277,127.24,158.985,191.253,205.636,226.258
                Баянтүмэн,42107,Адуу,6.81,6.45,6.06,6.32,6.93,6.76,6.46,5.82,5.42,5.71,5.26,5.62,4.46,3.98,3.94,4.04,3.76,3.92,4.15,4.38,4.17,3.97,4.27,4.99,5.22,4.9,5.1,5.15,5.24,5.49,5.39,6.36,7.22,6.87,7.72,7.72,8.76,11.21,11.45,11.39,10.84,11.35,12.457,13.449,15.39,18.177,20.989,25.055,27.839,29.691,34.667
                Баянтүмэн,42107,Үхэр,4.43,4.8,4.45,4.48,5.21,4.9,4.76,4.93,5.17,5.14,4.76,4.8,3.8,3.39,3.38,3.44,3.6,3.73,3.85,4.02,4.03,4.17,4.26,4.7,4.36,4.31,5.02,4.9,5.07,5.2,4.84,3.98,4.97,4.27,4.91,5.57,5.85,8.03,8.34,8.87,6.42,6.82,7.649,8.395,9.79,12.288,14.376,17.564,21.901,23.638,27.431
                Баянтүмэн,42107,Тэмээ,1.16,1.09,1.05,1.05,1.11,1.15,1.07,1.11,1.13,1.15,1.15,1.22,0.99,0.9,0.86,0.82,0.69,0.68,0.64,0.62,0.6,0.54,0.47,0.43,0.43,0.37,0.38,0.34,0.36,0.34,0.35,0.4,0.48,0.47,0.54,0.54,0.56,0.61,0.64,0.73,0.72,0.69,0.634,0.634,0.655,0.615,0.616,0.684,0.769,0.746,0.801
                Баянтүмэн,42107,Хонь,39.77,40.54,35.77,36.92,37.97,36.46,33.83,36.97,43.06,43.95,44.99,48.24,44.12,43.33,37.78,41.39,35.49,36.06,36.2,38.66,36.34,35.12,30.01,25.08,17.82,14.86,14.63,14.84,16.41,18.35,18.44,25.1,27.91,23.46,28.86,32.93,36.37,49.06,57.41,56.73,38.88,36.76,37.676,39.31,42.294,48.884,55.538,70.07,84.033,90.164,97.664
                Баянтүмэн,42107,Ямаа,1.28,2.36,1.99,2.3,2.64,2.56,2.1,2.23,2.24,2.44,2.11,2.19,1.78,1.58,1.42,1.47,1.72,1.82,1.6,1.54,1.65,1.87,2.21,2.63,2.97,3.48,4.29,5.08,5.94,5.84,6.13,7.62,10.63,10.06,14.54,16.45,22.65,31.84,37.48,34.04,21.03,22.4,24.526,22.902,26.683,32.313,35.721,45.612,56.711,61.397,65.695
                Баян-Уул,42110,Бүгд,76.39,62.68,58.19,62.84,66.28,71.01,71.38,74.52,80.48,76.31,66.24,75.75,75.3,65.42,65.24,61.15,55.43,46.17,45.71,47.12,48.19,43.93,47.29,36.03,32.88,24.61,24.69,28.39,30.93,35.23,36.9,36.63,41.17,44.8,46.35,50.06,57.43,66.71,75.84,78.58,64.63,63.23,68.292,73.321,81.649,88.899,91.831,100.344,112.9,133.766,157.81
                Баян-Уул,42110,Адуу,6.11,6.5,6.04,6.09,6.27,6.07,5.96,6.3,6.19,6.46,5.87,6.2,5.96,6.25,6.37,6.58,6.68,6.7,6.81,6.97,7.09,7.09,7.79,6.3,6.55,5.96,5.27,5.38,5.01,5.32,5.21,4.99,5.56,6.1,6.44,6.55,6.81,7.32,7.64,7.71,7.43,7.52,7.479,8.343,9.2,10.245,11.918,12.839,13.922,15.831,19.018
                Баян-Уул,42110,Үхэр,15.77,17.47,16.16,16.9,17.29,17.64,17.17,17.87,19.11,17.99,16.7,17.11,15.31,13.86,14.24,14.21,13.99,13.43,13.01,13.32,14.12,12.96,13.35,9.63,9.46,7.83,7.56,8.67,8.94,9.75,9.64,8.38,8.45,8.7,8.27,7.92,8.31,9.2,9.53,10.59,9.92,9.81,10.764,11.781,13.142,15.462,14.937,15.733,18.57,22.88,26.681
                Баян-Уул,42110,Тэмээ,0.82,0.78,0.7,0.68,0.68,0.69,0.67,0.67,0.68,0.7,0.67,0.73,0.72,0.77,0.79,0.71,0.73,0.67,0.69,0.68,0.73,0.6,0.57,0.41,0.37,0.34,0.34,0.33,0.33,0.34,0.36,0.38,0.41,0.38,0.39,0.38,0.39,0.35,0.37,0.32,0.3,0.25,0.214,0.178,0.143,0.159,0.183,0.231,0.257,0.211,0.248
                Баян-Уул,42110,Хонь,40.29,37.23,34.68,38.43,41.24,45.74,46.69,48.68,53.45,50.11,42.03,50.53,52.2,43.21,42.45,38.55,33.02,24.41,24.23,25.05,25.26,22.48,24.15,18.28,14.57,8.42,8.72,10.19,11.95,14.19,15.32,15.63,17.23,18.2,18.94,21.42,24.77,28.35,31.75,33.27,28.01,26.52,28.875,31.047,34.63,36.45,38.45,42.429,46.435,53.347,63.95
